Date,Max Temp,Min Temp,Rain
11/04/1950,58,43,TRUE
12/04/1950,54,41,TRUE
13/04/1950,57,38,FALSE
14/04/1950,51,38,TRUE
15/04/1950,49,43,TRUE
16/04/1950,53,42,TRUE
17/04/1950,52,40,TRUE
18/04/1950,61,34,FALSE
19/04/1950,74,45,FALSE
20/04/1950,56,35,FALSE
21/04/1950,50,33,FALSE
22/04/1950,50,35,TRUE
23/04/1950,52,33,FALSE
24/04/1950,57,30,FALSE
25/04/1950,54,40,TRUE
26/04/1950,46,38,TRUE
27/04/1950,52,37,TRUE
28/04/1950,60,34,FALSE
29/04/1950,66,36,FALSE
30/04/1950,63,38,TRUE
01/05/1950,55,41,TRUE
02/05/1950,54,36,FALSE
03/05/1950,53,35,TRUE
04/05/1950,49,43,TRUE
05/05/1950,52,39,TRUE
06/05/1950,53,38,FALSE
07/05/1950,60,34,FALSE
08/05/1950,61,41,FALSE
09/05/1950,55,40,TRUE
10/05/1950,66,49,FALSE
11/05/1950,73,44,FALSE
12/05/1950,68,48,FALSE
13/05/1950,65,44,FALSE
14/05/1950,63,39,FALSE
15/05/1950,62,40,FALSE
16/05/1950,61,41,TRUE
